断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况,数据时间
拖山,2024/4/24 20:00,Ⅲ,22,8.52,12.17,432.7,19.6,3.7,0.025,0.045,1.42,0.037,10049460,正常,2024_04_24_22h17m
落蓬湾,2024/4/24 20:00,Ⅲ,21.7,7.37,6.26,356.2,60.3,4.65,0.074,0.045,1.76,*,*,正常,2024_04_24_22h17m
汤溇,2024/4/24 20:00,Ⅱ,23.9,8.04,8.13,445,14.2,2.36,0.083,0.022,1.94,*,*,正常,2024_04_24_22h17m
小梅口,2024/4/24 20:00,Ⅱ,21.5,7.33,6.04,251.1,40.2,2.69,0.125,0.05,2.75,*,*,正常,2024_04_24_22h17m
锡东水厂,2024/4/24 20:00,Ⅲ,18.5,8.72,10.1,469.3,28.5,2.94,0.025,0.033,0.94,0.012,2393610,正常,2024_04_25_02h17m
兰山嘴,2024/4/25 0:00,,20.7,7.78,9.21,440,47.8,--,0.025,0.05,2.33,0.008,8434783,维护,2024_04_25_02h17m
拖山,2024/4/25 0:00,Ⅲ,21.5,8.37,10.8,433.3,29.3,3.7,0.025,0.045,1.42,0.03,13453290,正常,2024_04_25_02h17m
落蓬湾,2024/4/25 0:00,Ⅲ,21.5,7.38,6.28,357.7,46.1,4.62,0.067,0.041,1.74,*,*,正常,2024_04_25_02h17m
汤溇,2024/4/24 20:00,Ⅱ,23.9,8.04,8.13,445,14.2,2.36,0.083,0.022,1.94,*,*,正常,2024_04_25_02h17m
小梅口,2024/4/25 0:00,Ⅱ,21.5,7.33,6.04,251.1,40.2,2.69,0.125,0.05,2.75,*,*,正常,2024_04_25_02h17m
锡东水厂,2024/4/25 0:00,Ⅲ,18,8.68,9.86,467.6,28.8,3.15,0.025,0.031,0.94,0.012,2457770,正常,2024_04_25_06h18m
兰山嘴,2024/4/25 4:00,Ⅳ,20.1,7.62,8.79,435.7,62.3,2.66,0.025,0.062,2.18,0.006,8304348,正常,2024_04_25_06h18m
拖山,2024/4/25 4:00,Ⅳ,20.9,8.23,9.5,438.4,35.6,3.54,0.025,0.054,1.86,0.031,14899760,正常,2024_04_25_06h18m
落蓬湾,2024/4/25 4:00,Ⅲ,21.3,7.36,5.98,358,69.5,4.53,0.059,0.042,1.74,*,*,正常,2024_04_25_06h18m
汤溇,2024/4/25 4:00,Ⅱ,22.4,7.55,6.62,445.7,15.7,2.42,0.112,0.025,1.93,*,*,正常,2024_04_25_06h18m
小梅口,2024/4/25 4:00,Ⅴ,20.4,7.21,2.94,280.7,28.4,2.88,0.077,0.045,2.5,*,*,正常,2024_04_25_06h18m
锡东水厂,2024/4/25 4:00,Ⅲ,17.4,8.61,9.58,468.2,29.4,2.86,0.025,0.032,0.95,0.01,2193090,正常,2024_04_25_10h19m
兰山嘴,2024/4/25 8:00,,20,7.63,8.83,440.1,78.8,--,0.025,0.069,2.18,0.008,8565217,维护,2024_04_25_10h19m
拖山,2024/4/25 8:00,Ⅳ,20.7,8.24,8.88,436.2,44.9,3.4,0.025,0.058,1.82,0.026,14349330,正常,2024_04_25_10h19m
落蓬湾,2024/4/25 8:00,Ⅲ,21.4,7.37,6.13,358.5,54.2,4.68,0.063,0.042,1.72,*,*,正常,2024_04_25_10h19m
汤溇,2024/4/25 8:00,Ⅱ,22.3,7.48,6.24,445.2,20.3,2.71,0.096,0.034,1.9,*,*,正常,2024_04_25_10h19m
小梅口,2024/4/25 8:00,Ⅳ,20.5,7.2,3.67,281.2,30.5,2.86,0.084,0.049,2.38,*,*,正常,2024_04_25_10h19m
锡东水厂,2024/4/25 8:00,Ⅲ,17.7,8.58,9.46,468.9,31.1,2.86,0.025,0.032,1,0.01,2700100,正常,2024_04_25_14h19m
兰山嘴,2024/4/25 12:00,,20.3,7.69,8.97,447.5,83,--,0.025,0.077,2.1,0.009,9217391,维护,2024_04_25_14h19m
拖山,2024/4/25 12:00,Ⅳ,21,8.21,8.7,441.3,49.5,3.59,0.025,0.06,1.8,0.023,16397930,正常,2024_04_25_14h19m
落蓬湾,2024/4/25 12:00,Ⅲ,21.8,7.39,6.47,357.8,55.7,4.53,0.058,0.039,1.73,*,*,正常,2024_04_25_14h19m
汤溇,2024/4/25 12:00,Ⅱ,22.2,7.48,6.31,445.2,17.4,2.61,0.092,0.029,1.91,*,*,正常,2024_04_25_14h19m
小梅口,2024/4/25 12:00,Ⅱ,21,7.71,9.29,0.5,256.9,2.97,0.074,0.047,2.41,*,*,正常,2024_04_25_14h19m
锡东水厂,2024/4/25 12:00,Ⅲ,18.4,8.66,9.75,469.1,31.8,2.86,0.025,0.031,0.94,0.011,2530480,正常,2024_04_25_18h20m
兰山嘴,2024/4/25 16:00,,20.3,7.68,8.97,453.2,119.3,--,0.025,0.112,2,0.009,9391304,维护,2024_04_25_18h20m
拖山,2024/4/25 16:00,Ⅳ,20.7,8.12,8.27,439.5,54.7,3.52,0.025,0.067,1.77,0.026,16017370,正常,2024_04_25_18h20m
落蓬湾,2024/4/25 16:00,Ⅲ,21.8,7.41,6.47,358,55.4,4.69,0.06,0.041,1.75,*,*,正常,2024_04_25_18h20m
汤溇,2024/4/25 16:00,Ⅱ,22.5,7.59,7.5,445.5,21.1,2.59,0.076,0.03,1.87,*,*,正常,2024_04_25_18h20m
小梅口,2024/4/25 16:00,Ⅱ,20.8,7.75,9.48,0.5,270.1,2.84,0.09,0.046,2.6,*,*,正常,2024_04_25_18h20m
锡东水厂,2024/4/25 16:00,Ⅲ,18.3,8.73,9.99,468.9,29.6,2.92,0.025,0.032,0.93,0.016,3387360,正常,2024_04_25_22h21m
兰山嘴,2024/4/25 20:00,,20,7.66,8.88,448.7,124.9,--,0.025,0.103,2.17,0.008,9260870,维护,2024_04_25_22h21m
拖山,2024/4/25 20:00,Ⅳ,20.4,8.07,8.08,437,60,3.47,0.025,0.068,1.73,0.024,15241670,正常,2024_04_25_22h21m
落蓬湾,2024/4/25 20:00,Ⅲ,21.4,7.38,5.97,358.8,59.8,4.67,0.058,0.039,1.71,*,*,正常,2024_04_25_22h21m
汤溇,2024/4/25 20:00,Ⅱ,22.3,7.57,7.18,447.1,16.9,2.65,0.114,0.029,1.89,*,*,正常,2024_04_25_22h21m
小梅口,2024/4/25 20:00,Ⅲ,20.8,7.28,5.06,250.2,31.6,2.69,0.08,0.045,2.68,*,*,正常,2024_04_25_22h21m
锡东水厂,2024/4/25 20:00,Ⅲ,17.5,8.67,9.9,469.5,29,2.92,0.025,0.034,0.93,0.016,3358150,正常,2024_04_26_02h21m
兰山嘴,2024/4/26 0:00,,19.7,7.66,8.84,445.8,125.6,--,0.025,0.118,2.15,0.008,9304348,维护,2024_04_26_02h21m
拖山,2024/4/26 0:00,Ⅳ,19.8,7.98,7.72,436.5,94.9,3.47,0.025,0.095,1.78,0.025,18463280,正常,2024_04_26_02h21m
落蓬湾,2024/4/26 0:00,Ⅲ,21.2,7.4,6.01,360.4,52.1,4.61,0.061,0.039,1.72,*,*,正常,2024_04_26_02h21m
汤溇,2024/4/25 20:00,Ⅱ,22.3,7.57,7.18,447.1,16.9,2.65,0.114,0.029,1.89,*,*,正常,2024_04_26_02h21m
小梅口,2024/4/26 0:00,Ⅲ,20.8,7.28,5.06,250.2,31.6,2.69,0.08,0.045,2.68,*,*,正常,2024_04_26_02h21m
锡东水厂,2024/4/26 0:00,Ⅲ,18,8.58,8.85,470.6,27.7,2.89,0.025,0.032,0.94,0.012,2541250,正常,2024_04_26_06h22m
兰山嘴,2024/4/26 4:00,,19.5,7.62,8.76,443.8,115.8,--,0.025,0.097,2.08,0.008,9086957,维护,2024_04_26_06h22m
拖山,2024/4/26 4:00,Ⅳ,19.5,7.91,7.46,439,73.8,3.39,0.025,0.072,1.71,0.025,15922820,正常,2024_04_26_06h22m
落蓬湾,2024/4/26 4:00,Ⅲ,21.1,7.39,5.86,361,79.8,4.55,0.055,0.039,1.7,*,*,正常,2024_04_26_06h22m
汤溇,2024/4/26 4:00,Ⅲ,21.5,7.46,5.79,456.4,17.6,2.73,0.231,0.029,2.17,*,*,正常,2024_04_26_06h22m
小梅口,2024/4/26 4:00,Ⅱ,19.7,7.62,9.71,0.5,266.9,2.69,0.089,0.051,2.62,*,*,正常,2024_04_26_06h22m
锡东水厂,2024/4/26 4:00,Ⅲ,17.5,8.53,8.69,470.8,26.1,2.7,0.025,0.032,0.92,0.011,2623740,正常,2024_04_26_10h23m
兰山嘴,2024/4/26 8:00,,19.4,7.63,8.78,443.1,101,--,0.025,0.087,2.06,0.007,8826087,维护,2024_04_26_10h23m
拖山,2024/4/26 8:00,Ⅳ,19.5,7.97,7.6,438.7,64.8,3.49,0.025,0.065,1.74,0.029,14980460,正常,2024_04_26_10h23m
落蓬湾,2024/4/26 8:00,Ⅲ,21.4,7.39,5.93,361.1,43.8,4.61,0.061,0.039,1.72,*,*,正常,2024_04_26_10h23m
汤溇,2024/4/26 8:00,Ⅱ,21.5,7.76,6.99,431.3,27.4,2.77,0.1,0.03,2.07,*,*,正常,2024_04_26_10h23m
小梅口,2024/4/26 8:00,Ⅱ,19.8,7.76,9.54,265.9,28.4,2.9,0.077,0.054,2.44,*,*,正常,2024_04_26_10h23m
锡东水厂,2024/4/26 8:00,Ⅲ,18.7,8.55,8.15,471.4,27.9,2.94,0.025,0.032,0.89,0.009,2471690,正常,2024_04_26_14h23m
兰山嘴,2024/4/26 12:00,Ⅳ,20.7,7.75,9.12,454.7,79.9,2.8,0.025,0.075,2.05,0.01,9304348,正常,2024_04_26_14h23m
拖山,2024/4/26 12:00,Ⅳ,20.7,8.21,8.52,436.5,53.9,3.58,0.025,0.064,1.79,0.024,15675430,正常,2024_04_26_14h23m
落蓬湾,2024/4/26 12:00,Ⅲ,21.9,7.36,5.91,358.9,115.4,4.52,0.053,0.037,1.65,*,*,正常,2024_04_26_14h23m
汤溇,2024/4/26 12:00,Ⅱ,22.1,7.73,7.32,429.6,25.4,2.49,0.113,0.028,2.14,*,*,正常,2024_04_26_14h23m
小梅口,2024/4/26 12:00,Ⅱ,21,7.42,9.41,0.5,264.5,2.89,0.055,0.043,2.14,*,*,正常,2024_04_26_14h23m
锡东水厂,2024/4/26 16:00,Ⅲ,19.6,8.73,8.72,472.5,25.6,3.14,0.025,0.032,0.88,0.006,632800,正常,2024_04_26_18h24m
兰山嘴,2024/4/26 16:00,Ⅳ,21,7.77,9.15,455.3,76.3,2.66,0.025,0.072,2.04,0.008,8652174,正常,2024_04_26_18h24m
拖山,2024/4/26 16:00,Ⅳ,21.1,8.16,8.68,434.5,51.9,3.39,0.025,0.06,1.7,0.025,14546470,正常,2024_04_26_18h24m
落蓬湾,2024/4/26 16:00,Ⅲ,22.6,7.41,6.22,360.6,53.3,4.52,0.072,0.046,1.68,*,*,正常,2024_04_26_18h24m
汤溇,2024/4/26 16:00,Ⅱ,22.8,7.89,7.96,416.8,23.1,2.4,0.081,0.025,2.11,*,*,正常,2024_04_26_18h24m
小梅口,2024/4/26 16:00,Ⅱ,22,7.68,8.3,294.8,25.7,3.09,0.035,0.052,2.23,*,*,正常,2024_04_26_18h24m
锡东水厂,2024/4/26 16:00,Ⅲ,19.6,8.73,8.72,472.5,25.6,3.14,0.025,0.032,0.88,0.006,632800,正常,2024_04_26_22h25m
兰山嘴,2024/4/26 20:00,Ⅳ,20.7,7.71,8.93,449.1,82.5,2.63,0.025,0.069,2.14,0.007,8608696,正常,2024_04_26_22h25m
拖山,2024/4/26 20:00,Ⅳ,20.9,8.09,8.26,434.8,54,3.52,0.025,0.062,1.74,0.028,15105770,正常,2024_04_26_22h25m
落蓬湾,2024/4/26 20:00,Ⅲ,22.1,7.47,6.3,365.2,72.1,4.56,0.056,0.04,1.67,*,*,正常,2024_04_26_22h25m
汤溇,2024/4/26 20:00,Ⅱ,22.6,7.87,7.59,415.5,22.1,2.28,0.085,0.025,2.06,*,*,正常,2024_04_26_22h25m
小梅口,2024/4/26 20:00,Ⅱ,21.5,7.64,8.02,305.2,24.7,2.97,0.038,0.049,2.26,*,*,正常,2024_04_26_22h25m
锡东水厂,2024/4/26 20:00,Ⅲ,19.8,8.68,8.51,472.8,23.3,3.14,0.025,0.028,0.81,0.009,1577390,正常,2024_04_27_02h25m
兰山嘴,2024/4/27 0:00,Ⅳ,20.4,7.66,8.8,444.4,91.6,2.63,0.025,0.081,2.14,0.007,8652174,正常,2024_04_27_02h25m
拖山,2024/4/27 0:00,Ⅳ,20.7,8.07,7.96,433.5,62.8,3.52,0.025,0.062,1.74,0.027,15628680,正常,2024_04_27_02h25m
落蓬湾,2024/4/27 0:00,Ⅲ,21.9,7.48,6.31,368.2,69.2,4.39,0.051,0.039,1.71,*,*,正常,2024_04_27_02h25m
汤溇,2024/4/26 20:00,Ⅱ,22.6,7.87,7.59,415.5,22.1,2.28,0.085,0.025,2.06,*,*,正常,2024_04_27_02h25m
小梅口,2024/4/27 0:00,Ⅱ,21.5,7.64,8.02,305.2,24.7,2.97,0.038,0.049,2.26,*,*,正常,2024_04_27_02h25m
锡东水厂,2024/4/27 0:00,Ⅲ,19.6,8.65,8.26,473.7,21.4,2.91,0.025,0.03,0.79,0.006,1093540,正常,2024_04_27_06h26m
兰山嘴,2024/4/27 4:00,Ⅳ,20.3,7.61,8.72,436.2,86.8,2.76,0.025,0.076,2.27,0.006,8652174,正常,2024_04_27_06h26m
拖山,2024/4/27 4:00,Ⅳ,20.6,8.07,7.66,439.5,58,3.74,0.025,0.065,1.72,0.03,16295650,正常,2024_04_27_06h26m
落蓬湾,2024/4/27 4:00,Ⅲ,21.6,7.48,6.31,368.9,59,4.08,0.045,0.038,1.69,*,*,正常,2024_04_27_06h26m
汤溇,2024/4/27 4:00,Ⅱ,21.8,7.8,7.53,415.8,23.4,2.51,0.113,0.026,2.22,*,*,正常,2024_04_27_06h26m
小梅口,2024/4/27 4:00,Ⅱ,21,7.55,7.24,307.7,23.4,2.89,0.039,0.051,2.27,*,*,正常,2024_04_27_06h26m
锡东水厂,2024/4/27 4:00,Ⅲ,19.3,8.6,8.07,473.4,20.1,2.86,0.025,0.027,0.78,0.007,1160840,正常,2024_04_27_10h26m
兰山嘴,2024/4/27 8:00,Ⅳ,20.2,7.52,8.64,425.7,90.5,2.94,0.025,0.084,2.38,0.006,8652174,正常,2024_04_27_10h26m
拖山,2024/4/27 8:00,Ⅳ,20.4,7.98,7.44,436.7,57.2,3.4,0.025,0.058,1.64,0.03,14717430,正常,2024_04_27_10h26m
落蓬湾,2024/4/27 8:00,,21.6,7.49,6.39,369.4,63.1,4.08,0.043,--,1.63,*,*,维护,2024_04_27_10h26m
汤溇,2024/4/27 8:00,Ⅱ,21.6,7.83,7.55,375.6,32,2.61,0.153,0.029,2.41,*,*,正常,2024_04_27_10h26m
小梅口,2024/4/27 8:00,Ⅱ,21,7.54,6.7,327.5,32.8,3.13,0.044,0.051,2.08,*,*,正常,2024_04_27_10h26m
锡东水厂,2024/4/27 8:00,Ⅲ,19.3,8.58,8,473.7,26.6,3.08,0.025,0.026,0.81,0.008,1566620,正常,2024_04_27_14h27m
兰山嘴,2024/4/27 12:00,Ⅳ,20.7,7.54,8.77,425.5,79,2.63,0.025,0.076,2.43,0.007,8782609,正常,2024_04_27_14h27m
拖山,2024/4/27 12:00,Ⅳ,21.1,8.18,8.43,439.1,49.4,3.58,0.025,0.063,1.86,0.029,15758470,正常,2024_04_27_14h27m
落蓬湾,2024/4/27 12:00,Ⅱ,22.4,7.51,6.64,369.3,105.4,4,0.046,0.038,1.64,*,*,正常,2024_04_27_14h27m
汤溇,2024/4/27 12:00,Ⅱ,21.9,7.95,8.05,375.2,24.7,2.46,0.127,0.026,2.28,*,*,正常,2024_04_27_14h27m
小梅口,2024/4/27 12:00,Ⅱ,21.5,7.62,6.94,355.4,41.6,3.87,0.055,0.063,1.8,*,*,正常,2024_04_27_14h27m
锡东水厂,2024/4/27 12:00,Ⅲ,19.6,8.63,8.44,473.4,22.5,3.09,0.025,0.027,0.8,0.008,1485700,正常,2024_04_27_18h28m
兰山嘴,2024/4/27 16:00,Ⅳ,21.1,7.65,8.89,425.4,73.7,2.83,0.025,0.068,2.46,0.007,8521739,正常,2024_04_27_18h28m
拖山,2024/4/27 16:00,Ⅳ,22,8.39,9.76,433.9,44.9,3.89,0.025,0.059,1.72,0.035,18541600,正常,2024_04_27_18h28m
落蓬湾,2024/4/27 16:00,Ⅲ,22.9,7.4,7,369.4,78,4.16,0.051,0.04,1.69,*,*,正常,2024_04_27_18h28m
汤溇,2024/4/27 16:00,Ⅱ,22,7.81,7.62,375.7,21.3,2.34,0.134,0.023,2.31,*,*,正常,2024_04_27_18h28m
小梅口,2024/4/27 16:00,Ⅱ,21.4,7.58,7.26,331.8,29.3,3.67,0.05,0.059,1.97,*,*,正常,2024_04_27_18h28m
锡东水厂,2024/4/27 16:00,Ⅲ,19.9,8.65,8.56,473.3,23.8,2.68,0.025,0.026,0.81,0.008,1269300,正常,2024_04_27_22h28m
兰山嘴,2024/4/27 20:00,Ⅳ,20.8,7.66,8.84,431.5,96.8,3.29,0.025,0.09,2.4,0.007,9260870,正常,2024_04_27_22h28m
拖山,2024/4/27 20:00,Ⅳ,21.5,8.19,8.46,436.6,52.3,3.57,0.025,0.056,1.8,0.028,15193400,正常,2024_04_27_22h28m
落蓬湾,2024/4/27 20:00,Ⅱ,22.5,7.45,6.66,368.1,77.1,3.43,0.047,0.039,2.04,*,*,正常,2024_04_27_22h28m
汤溇,2024/4/27 20:00,Ⅱ,21.7,7.76,7.18,383.9,23,2.38,0.091,0.024,2.18,*,*,正常,2024_04_27_22h28m
小梅口,2024/4/27 20:00,Ⅱ,21.2,7.56,6.86,339.2,30.7,3.45,0.047,0.054,2.03,*,*,正常,2024_04_27_22h28m
锡东水厂,2024/4/27 20:00,Ⅲ,19.7,8.63,8.4,473.4,22.6,3.31,0.025,0.028,0.76,0.011,1745820,正常,2024_04_28_02h29m
兰山嘴,2024/4/28 0:00,Ⅳ,20.5,7.62,8.76,428,121.4,3.29,0.025,0.09,2.4,0.005,9565217,正常,2024_04_28_02h29m
拖山,2024/4/28 0:00,Ⅳ,21.2,8,7.66,438.1,67.2,3.57,0.025,0.056,1.8,0.023,15167610,正常,2024_04_28_02h29m
落蓬湾,2024/4/28 0:00,Ⅱ,22.2,7.5,6.63,367.4,58.5,3.5,0.056,0.04,2.1,*,*,正常,2024_04_28_02h29m
汤溇,2024/4/27 20:00,Ⅱ,21.7,7.76,7.18,383.9,23,2.38,0.091,0.024,2.18,*,*,正常,2024_04_28_02h29m
小梅口,2024/4/28 0:00,Ⅱ,21.2,7.56,6.86,339.2,30.7,3.45,0.047,0.054,2.03,*,*,正常,2024_04_28_02h29m
锡东水厂,2024/4/28 0:00,Ⅲ,19.5,8.6,8.2,472.5,22.8,3.17,0.025,0.027,0.78,0.011,1875990,正常,2024_04_28_06h30m
兰山嘴,2024/4/28 4:00,Ⅴ,20.3,7.65,8.8,424.6,130.2,3.37,0.025,0.124,2.2,0.004,9565217,正常,2024_04_28_06h30m
拖山,2024/4/28 4:00,Ⅳ,21,7.87,7.38,436.1,66.9,3.46,0.025,0.071,1.61,0.023,16356660,正常,2024_04_28_06h30m
落蓬湾,2024/4/28 4:00,Ⅱ,22,7.52,6.52,367.7,63.4,3.39,0.047,0.038,2.07,*,*,正常,2024_04_28_06h30m
汤溇,2024/4/28 4:00,Ⅱ,21.6,7.49,6.32,422.7,24.8,2.59,0.17,0.029,2.29,*,*,正常,2024_04_28_06h30m
小梅口,2024/4/28 4:00,Ⅱ,20.9,7.54,6.43,348.7,31.3,3.52,0.05,0.053,2.01,*,*,正常,2024_04_28_06h30m
锡东水厂,2024/4/28 4:00,Ⅲ,19.3,8.54,7.93,473.5,23.8,3.32,0.025,0.03,0.78,0.009,1600210,正常,2024_04_28_10h30m
兰山嘴,2024/4/28 8:00,Ⅴ,20.1,7.61,8.82,412,126.4,3.3,0.025,0.124,2.21,0.005,9434783,正常,2024_04_28_10h30m
拖山,2024/4/28 8:00,Ⅳ,20.8,7.7,7.15,434.1,83.1,3.6,0.025,0.076,1.59,0.02,16480630,正常,2024_04_28_10h30m
落蓬湾,2024/4/28 8:00,Ⅱ,22,7.52,6.55,365.9,59.6,3.48,0.049,0.036,2.03,*,*,正常,2024_04_28_10h30m
汤溇,2024/4/28 8:00,Ⅲ,21.4,7.37,5.17,439,18.5,2.91,0.193,0.028,2.26,*,*,正常,2024_04_28_10h30m
小梅口,2024/4/28 8:00,Ⅲ,20.8,7.53,5.76,354.8,32,3.67,0.059,0.06,1.96,*,*,正常,2024_04_28_10h30m
锡东水厂,2024/4/28 8:00,Ⅲ,19.1,8.49,7.81,473.6,29.7,3.6,0.025,0.029,0.82,0.009,1834120,正常,2024_04_28_14h31m
兰山嘴,2024/4/28 12:00,Ⅴ,20,7.58,8.84,403.2,114.8,3,0.025,0.104,2.08,0.005,9391304,正常,2024_04_28_14h31m
拖山,2024/4/28 12:00,Ⅳ,20.7,7.96,7.57,438.7,79.4,4.07,0.025,0.075,1.9,0.034,18281870,正常,2024_04_28_14h31m
落蓬湾,2024/4/28 12:00,Ⅱ,22.2,7.46,6.2,362.6,87.7,3.34,0.051,0.036,1.99,*,*,正常,2024_04_28_14h31m
汤溇,2024/4/28 12:00,Ⅱ,21.1,7.73,7.3,378.8,28.7,2.82,0.147,0.029,2.47,*,*,正常,2024_04_28_14h31m
小梅口,2024/4/28 12:00,Ⅱ,20.7,7.59,6.82,327,36.6,3.54,0.037,0.058,2.04,*,*,正常,2024_04_28_14h31m
锡东水厂,2024/4/28 12:00,Ⅲ,19.1,8.48,7.83,473.8,25.7,3.32,0.025,0.029,0.81,0.008,1661320,正常,2024_04_28_18h32m
兰山嘴,2024/4/28 16:00,Ⅳ,20.3,7.61,8.89,395.3,96.3,2.67,0.025,0.087,2.18,0.007,9434783,正常,2024_04_28_18h32m
拖山,2024/4/28 16:00,Ⅳ,21,7.98,7.98,436.3,57.9,3.51,0.025,0.067,1.75,0.031,16124640,正常,2024_04_28_18h32m
落蓬湾,2024/4/28 16:00,Ⅱ,22.3,7.42,6.02,359.7,56.7,3.72,0.066,0.043,2.05,*,*,正常,2024_04_28_18h32m
汤溇,2024/4/28 16:00,Ⅱ,21.6,7.95,8.46,377.1,24.7,2.38,0.125,0.027,2.45,*,*,正常,2024_04_28_18h32m
小梅口,2024/4/28 16:00,Ⅱ,21,7.68,7.83,310.8,34.5,3.2,0.028,0.057,2.28,*,*,正常,2024_04_28_18h32m
锡东水厂,2024/4/29 12:00,Ⅲ,18.7,8.32,8.1,474.7,33,3.37,0.025,0.03,1.02,0.002,546070,正常,2024_04_29_15h22m
兰山嘴,2024/4/29 12:00,Ⅳ,20.8,7.6,8.86,382.3,68.6,2.6,0.025,0.078,2.54,0.008,9739130,正常,2024_04_29_15h22m
拖山,2024/4/29 12:00,Ⅳ,21,8.16,8.53,441.9,44.7,4.25,0.025,0.074,2.04,0.043,18522570,正常,2024_04_29_15h22m
落蓬湾,2024/4/29 12:00,Ⅲ,22,7.4,5.5,364,72.7,3.74,0.09,0.047,2.13,*,*,正常,2024_04_29_15h22m
汤溇,2024/4/29 12:00,Ⅱ,21.3,7.86,7.88,366.1,57.3,2.48,0.087,0.036,2.2,*,*,正常,2024_04_29_15h22m
小梅口,2024/4/29 12:00,Ⅱ,20.8,7.53,6.79,307.1,33.5,3.05,0.028,0.047,2.25,*,*,正常,2024_04_29_15h22m
锡东水厂,2024/4/29 16:00,Ⅲ,19.4,8.44,8.57,472.1,42.4,3.37,0.025,0.03,1.04,0.007,2108400,正常,2024_04_29_19h22m
兰山嘴,2024/4/29 16:00,Ⅳ,21,7.62,8.91,377.8,59.8,2.46,0.025,0.065,2.69,0.008,8913043,正常,2024_04_29_19h22m
拖山,2024/4/29 16:00,Ⅳ,21.3,8.26,8.92,442,42.2,4.11,0.025,0.069,1.96,0.038,17309240,正常,2024_04_29_19h22m
落蓬湾,2024/4/29 16:00,Ⅲ,22.2,7.43,5.75,364.6,92.9,3.71,0.092,0.048,2.18,*,*,正常,2024_04_29_19h22m
汤溇,2024/4/29 16:00,Ⅱ,22.4,7.9,8.1,361.4,56.4,2.52,0.086,0.036,2.24,*,*,正常,2024_04_29_19h22m
小梅口,2024/4/29 16:00,Ⅱ,21.3,7.48,6.23,329,29.3,3.26,0.028,0.047,2.14,*,*,正常,2024_04_29_19h22m
锡东水厂,2024/4/29 20:00,Ⅲ,19.4,8.37,8.31,473.2,39.6,2.14,0.025,0.031,1.08,0.003,887000,正常,2024_04_29_23h23m
兰山嘴,2024/4/29 20:00,Ⅳ,20.9,7.56,8.7,373.9,60.8,2.33,0.025,0.074,2.57,0.007,8695652,正常,2024_04_29_23h23m
拖山,2024/4/29 20:00,,21.2,8.17,8.64,441.2,47,4.12,--,0.067,1.95,0.047,17731860,维护,2024_04_29_23h23m
落蓬湾,2024/4/29 20:00,Ⅲ,22.1,7.42,5.63,364,62.3,3.71,0.09,0.045,2.17,*,*,正常,2024_04_29_23h23m
汤溇,2024/4/29 20:00,Ⅱ,22.1,7.86,7.82,366.9,48.1,2.54,0.087,0.033,2.19,*,*,正常,2024_04_29_23h23m
小梅口,2024/4/29 20:00,Ⅲ,21.1,7.45,5.38,345.3,28.8,3.24,0.041,0.046,2.12,*,*,正常,2024_04_29_23h23m
锡东水厂,2024/4/29 20:00,Ⅲ,19.4,8.37,8.31,473.2,39.6,2.14,0.025,0.031,1.08,0.003,887000,正常,2024_04_30_03h24m
兰山嘴,2024/4/30 0:00,Ⅳ,20.7,7.52,8.6,373.1,60.8,2.33,0.025,0.069,2.66,0.006,8695652,正常,2024_04_30_03h24m
拖山,2024/4/30 0:00,Ⅳ,21,8.12,8.22,440.3,50.3,4.12,0.025,0.067,1.91,0.04,17400510,正常,2024_04_30_03h24m
落蓬湾,2024/4/30 0:00,Ⅲ,21.9,7.42,5.65,363.9,60.7,3.71,0.09,0.045,2.17,*,*,正常,2024_04_30_03h24m
汤溇,2024/4/29 20:00,Ⅱ,22.1,7.86,7.82,366.9,48.1,2.54,0.087,0.033,2.19,*,*,正常,2024_04_30_03h24m
小梅口,2024/4/30 0:00,Ⅲ,21.1,7.45,5.38,345.3,28.8,3.24,0.041,0.046,2.12,*,*,正常,2024_04_30_03h24m
锡东水厂,2024/4/30 4:00,Ⅲ,18.6,8.27,8,474.7,37.8,2.14,0.025,0.03,1.11,0.004,1214910,正常,2024_04_30_07h24m
兰山嘴,2024/4/30 4:00,Ⅳ,20.5,7.47,8.53,372,77.2,2.92,0.025,0.081,2.63,0.006,8826087,正常,2024_04_30_07h24m
拖山,2024/4/30 4:00,Ⅳ,20.6,8.02,7.86,443.6,59.2,4.1,0.025,0.073,1.93,0.038,18167090,正常,2024_04_30_07h24m
落蓬湾,2024/4/30 4:00,Ⅲ,21.7,7.42,5.63,364.1,75.4,3.73,0.091,0.048,2.18,*,*,正常,2024_04_30_07h24m
汤溇,2024/4/30 4:00,Ⅱ,21.5,7.84,7.51,371,39.2,2.33,0.077,0.031,2.15,*,*,正常,2024_04_30_07h24m
小梅口,2024/4/30 4:00,Ⅲ,21,7.43,5.22,354.4,27.4,3.36,0.04,0.05,2.07,*,*,正常,2024_04_30_07h24m
锡东水厂,2024/4/30 12:00,Ⅲ,17.7,8.33,8.47,474.9,30.6,2.14,0.025,0.026,1.06,0.004,1126050,正常,2024_04_30_15h25m
兰山嘴,2024/4/30 12:00,Ⅴ,20,7.49,8.67,383.2,114.8,3.57,0.025,0.113,2.81,0.007,9391304,正常,2024_04_30_15h25m
